ID,sp_id,Order,Family,Genus,Species,AcceptedFamily_COL,AcceptedGenus_COL,AcceptedName_COL,Species_ph_Fritz,Species_ph_Upham,Notes,tax_id,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantOther,Vend_Vect_Fish_Unk,Vend_Vect_Fish_Unk_Ins_Scav,Fruit_Nect_Seed_Plant,Locomotion,BM_g,Diet_class,Diet_cat
395,M_332,Primates,Cercopithecidae,Nasalis,Nasalis larvatus,Cercopithecidae,Nasalis,Nasalis larvatus,Nasalis_larvatus,Nasalis_larvatus,ET,14352,0,0,0,0,0,0,20,0,0,80,0,0,100,Arboreal,9000,Herbivore,Herbivore
411,M_345,Primates,Hylobatidae,Nomascus,Nomascus concolor,Hylobatidae,Nomascus,Nomascus concolor,Nomascus_concolor,Nomascus_concolor,ET,39775,10,0,0,0,0,0,80,0,0,10,0,10,90,Arboreal,6410.47,Herbivore,OmnHerbFrugSeed
412,M_346,Primates,Hylobatidae,Nomascus,Nomascus hainanus,Hylobatidae,Nomascus,Nomascus hainanus,Nomascus_hainanus,Nomascus_hainanus,ET,41643,10,0,0,0,0,0,80,0,0,10,0,10,90,Arboreal,6850.156,Herbivore,OmnHerbFrugSeed
415,M_347,Primates,Lorisidae,Nycticebus,Nycticebus coucang,Lorisidae,Nycticebus,Nycticebus coucang,Nycticebus_coucang,Nycticebus_coucang,ET,163017685,40,30,10,0,0,0,20,0,0,0,40,80,20,Arboreal,803.5,Carnivore,OmnCarnIns
438,M_368,Primates,Galagidae,Otolemur,Otolemur garnettii,Galagidae,Otolemur,Otolemur garnettii,Otolemur_garnettii,Otolemur_garnettii,ET,15644,20,0,0,0,0,0,20,60,0,0,0,20,80,Arboreal,760,Herbivore,OmnHerbFrugSeed
446,M_374,Primates,Hominidae,Pan,Pan paniscus,Hominidae,Pan,Pan paniscus,Pan_paniscus,Pan_paniscus,ET,15932,10,0,0,0,0,0,60,0,10,20,0,10,90,Semiarboreal,34000.08,Herbivore,OmnHerbFrugSeed
447,M_375,Primates,Hominidae,Pan,Pan troglodytes,Hominidae,Pan,Pan troglodytes,Pan_troglodytes,Pan_troglodytes,ET,15933,10,0,0,0,0,0,60,0,0,30,0,10,90,Semiarboreal,42500,Herbivore,OmnHerbFrugSeed
453,M_380,Primates,Cercopithecidae,Papio,Papio anubis,Cercopithecidae,Papio,Papio anubis,Papio_anubis,Papio_anubis,ET,40647,10,40,0,0,0,0,20,0,0,30,40,50,50,Terrestrial,17728.56,Omnivore,OmnCarnIns
454,M_381,Primates,Cercopithecidae,Papio,Papio cynocephalus,Cercopithecidae,Papio,Papio cynocephalus,Papio_cynocephalus,Papio_cynocephalus,ET,92250442,10,0,0,0,10,0,20,0,0,60,10,20,80,Terrestrial,15822.15,Herbivore,OmnHerbFrugSeed
455,M_382,Primates,Cercopithecidae,Papio,Papio hamadryas,Cercopithecidae,Papio,Papio hamadryas,Papio_hamadryas,Papio_hamadryas,ET,16019,10,0,0,0,10,0,0,0,0,80,10,20,80,Terrestrial,21250.05,Herbivore,OmnHerbFrugSeed
